storename,address_original,address_normalize[0],address_normalize[1],最終更新日,url,開設者種別,開設者名,管理者名,歯科一般領域一覧,歯科口腔外科領域一覧,小児歯科領域一覧,矯正歯科領域一覧,施設状況一覧,対応可能ﾅ麻酔治療一覧,在宅医療,連携ﾉ有無,歯科医師(総数|常勤|非常勤),歯科技工士(総数|常勤|非常勤),歯科助手(総数|常勤|非常勤),歯科衛生士(総数|常勤|非常勤),前年度1日平均外来患者数,緯度,経度,page
島崎歯科医院,かすみがうら市下稲吉１４８３－８,na,na,2020年12月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000889,個人,島崎宏,島崎宏,na,na,na,na,['院内処方'],na,na,na,1|1|-,na,na,na,8,na,na,39
高野歯科医院,かすみがうら市市川４１９,na,na,2023年3月23日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000890,個人,高野裕行,高野裕行,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,['院内処方'],na,na,"['病院との連携', '診療所との連携', '薬局との連携']",1|1|-,na,na,na,3,na,na,39
にとう歯科医院,かすみがうら市深谷２８１３－４,na,na,2023年5月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000893,個人,仁藤浩一,仁藤浩一,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,2|2|-,30,na,na,39
ひかり歯科医院,かすみがうら市下稲吉４００２－４,na,na,2023年3月23日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000894,個人,土屋雄一,土屋雄一,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,2|2|-,26.1,na,na,39
深谷歯科医院,土浦市神立東1-4237-77,na,na,2023年3月23日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000895,個人,山口孝之,山口孝之,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,2|2|-,20,na,na,39
美並歯科医院,かすみがうら市深谷７５－３０,na,na,2023年3月23日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000896,個人,高野俊行,高野俊行,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,10,na,na,40
みやざき歯科医院,かすみがうら市大和田５７２－３,na,na,2020年12月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000897,個人,宮崎陽子,宮崎陽子,na,na,na,na,"['院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1|-|1,13,na,na,40
吉田歯科医院,かすみがうら市稲吉２－９－１１,na,na,2023年5月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000898,個人,吉田司,吉田司,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']",na,na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携']",1|1|-,na,na,na,na,na,na,40
小澤歯科医院,稲敷郡美浦村大谷１６２０,na,na,2023年3月20日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000899,個人,小澤淳人,小澤淳人,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1|-|1,25,na,na,40
加藤歯科医院,稲敷郡美浦村受領１４５４－１９,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000900,個人,加藤圭子,加藤圭子,na,na,na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1|1|-,18,na,na,40
木村歯科医院,稲敷郡美浦村土屋１９７９－２１０,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000901,個人,木村三男,木村三男,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '聴覚障害者への配慮（施設内の情報の表示）', '施設内における全面禁煙の実施']",na,na,na,1|1|0,na,na,0|0|0,11.2,na,na,40
まつば歯科医院,稲敷郡美浦村木原２４２－１,na,na,2021年1月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000902,個人,松葉 俊明,松葉 俊明,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,18.5,na,na,40
秋吉歯科医院,稲敷郡阿見町荒川本郷２３９５－１,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000903,個人,秋吉大,秋吉大,"['歯科領域の一次診療', '成人の歯科矯正治療']",na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,2|2|-,na,na,3|1|2,43.6,na,na,40
朝日歯科クリニック,稲敷郡阿見町実穀１４１８,na,na,2018年12月25日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000904,個人,野口哲郎,野口哲郎,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']",['顎関節症治療'],na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '施設内における全面禁煙の実施']",na,na,na,1.5|1|0.5,na,na,2.5|2|0.5,28.6,na,na,40
あみ中央歯科医院,稲敷郡阿見町阿見５１８６－７,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000905,個人,田中章,田中章,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,20,na,na,40
永林堂歯科医院,稲敷郡阿見町鈴木２－８９,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000906,医療法人,医療法人社団良歯会,加藤良一,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療', '口腔領域の腫瘍の治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1.2|1|0.2,na,na,1|1|0,50.2,na,na,40
大久保歯科クリニック,稲敷郡阿見町阿見２６４４－１,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000907,個人,大久保隆史,大久保隆史,['歯科領域の一次診療'],"['埋伏歯抜歯', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,1|1|-,20.5,na,na,40
大場歯科医院,稲敷郡阿見町中央５－２－３１,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000908,個人,大場英之,大場英之,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施']",na,"['往診（終日往診可能以外）', '歯科訪問診療']","['病院との連携', '診療所との連携', '薬局との連携']",1.5|1|0.5,na,na,na,31,na,na,40
かわはら歯科医院,稲敷郡阿見町岡崎１－２９－２０,na,na,2023年3月20日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000910,個人,河原重信,河原重信,['歯科領域の一次診療'],na,na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1|1|-,18,na,na,40
北沢歯科クリニック,稲敷郡阿見町住吉１－２－１０,na,na,2020年12月18日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000911,個人,北澤弘毅,北澤弘毅,"['歯科領域の一次診療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|0,na,na,0|0|0,25,na,na,40
椎名歯科医院,稲敷郡阿見町阿見４３００－３,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000913,個人,椎名徳幸,椎名徳幸,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,10,na,na,40
斯波歯科医院,稲敷郡阿見町中央１－６－１９,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000914,個人,斯波道夫,斯波道夫,na,na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,15,na,na,40
塚原歯科医院,稲敷郡阿見町阿見３９６２－１３,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000915,個人,塚原一文,塚原一文,['歯科領域の一次診療'],['顎関節症治療'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1|-|1,14,na,na,40
つるや歯科,稲敷郡阿見町中郷２丁目１６番３,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000916,個人,鶴屋 誠人,鶴屋 誠人,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,2|2|-,40,na,na,40
ときわ歯科医院,稲敷郡阿見町岡崎３－１４－２,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000917,個人,斯波宏,斯波宏,['歯科領域の一次診療'],na,na,na,"['院外処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,8,na,na,40
永山歯科医院,稲敷郡阿見町阿見４０００－４,na,na,2019年1月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000918,個人,永山茂寿,永山茂寿,['歯科領域の一次診療'],na,na,na,['院内処方'],na,na,na,1|1|-,na,na,na,5,na,na,41
ぬまじり歯科,稲敷郡阿見町鈴木５９－５５,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000919,個人,沼尻道夫,沼尻道夫,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療', '摂食機能障害の治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,1.4|1|0.5,30,na,na,41
野口歯科医院,稲敷郡阿見町廻戸３４３－１２,na,na,2023年3月15日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000920,個人,野口喜弘,野口喜弘,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']",na,na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,2|2|-,na,na,na,32,na,na,41
ピアシティ歯科クリニック,稲敷郡阿見町本郷３－１－１,na,na,2023年3月20日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000921,個人,寺澤秀朗,寺澤秀朗,['歯科領域の一次診療'],['顎関節症治療'],na,na,"['院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,2|2|-,na,na,3|1|2,20,na,na,41
ひたち野うしく歯科医院,稲敷郡阿見町荒川本郷１７９－１１,na,na,2023年3月20日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000922,個人,佐藤由紀江,佐藤由紀江,['歯科領域の一次診療'],na,na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携', '薬局との連携']",1.3|1|0.3,na,na,0.4|-|0.4,21,na,na,41
ヒロ歯科医院,稲敷郡阿見町中央６－２０－２,na,na,2021年1月12日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000923,個人,谷田部康弘,谷田部康弘,['歯科領域の一次診療'],na,na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,15,na,na,41
ファミリー歯科診療所 つくば予防インプラントセンター,稲敷郡阿見町うずら野１－２２－７,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000924,医療法人,医療法人社団 飛翔会,理事長 李徳操,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,4.4|3|1.4,na,na,4|3|1,50,na,na,41
本郷歯科医院,稲敷郡阿見町うずら野２－２１－２４,na,na,2023年3月22日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000925,個人,緑川恵樹,緑川恵樹,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']",na,na,na,"['院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '喫煙室の設置', '医療に関する相談窓口設置']",na,na,na,2|2|-,na,na,na,14.6,na,na,41
増野歯科医院,稲敷郡阿見町荒川本郷１３２９－２０,na,na,2023年3月29日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000926,個人,増野周,増野周,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1.5|1|0.5,na,na,0|0|0,13,na,na,41
宮本歯科医院,稲敷郡阿見町荒川本郷１３３２－１,na,na,2023年3月13日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000927,個人,宮本一民,宮本一民,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,12,na,na,41
山崎歯科クリニック,稲敷郡阿見町岡崎２－３－１２,na,na,2020年12月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000928,個人,山崎裕,山崎裕,['歯科領域の一次診療'],['顎関節症治療'],na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携', '薬局との連携']",1|1|-,na,na,1|1|-,23,na,na,41
医療法人星辰会あべた歯科クリニック,結城市武井１３２２－１７,na,na,2021年1月12日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000929,医療法人,医療法人星辰会,阿部田 仁,"['歯科領域の一次診療', '成人の歯科矯正治療']",['埋伏歯抜歯'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1.2|1|0.2,na,na,1.5|-|1.5,18.4,na,na,41
おくざわ歯科,結城市結城９８５８－１９,na,na,2023年5月08日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000931,医療法人,医療法人 拓士会,奥澤拓也,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|0,na,na,8|6|2,50,na,na,41
かいだ歯科医院,結城市結城１３６２２－１,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000933,個人,戒田敏之,戒田敏之,"['歯科領域の一次診療', '成人の歯科矯正治療', '唇顎口蓋裂の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '聴覚障害者への配慮（施設内の情報の表示）', '施設内における全面禁煙の実施']",na,na,na,3|1|2,na,na,2|1|1,26,na,na,41
河野歯科医院,結城市結城１５７２番地,na,na,2023年3月20日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000935,個人,河野雅人,河野雅人,['歯科領域の一次診療'],na,na,na,"['院外処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,2|1|1,26.6,na,na,41
小早川歯科医院,結城市結城１３４３５,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000936,個人,小早川秀行,小早川秀行,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,25.3,na,na,41
桜井歯科医院,結城市上山川３４６０－１,na,na,2020年12月11日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000937,個人,桜井隆夫,桜井隆夫,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,12.5,na,na,41
歯科口腔外科保坂クリニック,結城市結城１３９,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000938,個人,保坂栄勇,保坂栄勇,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療', '顎変形症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療', '口腔領域の腫瘍の治療']",na,na,"['院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,"['歯科訪問診療', '訪問歯科衛生指導']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",1.2|1|0.2,na,na,1.5|1|0.5,16.9,na,na,41
城南歯科医院,結城市新福寺５－３－１,na,na,2020年12月15日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000940,個人,安達則昭,安達則昭,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,2.6|2|0.6,na,na,1|1|-,27,na,na,41
白石歯科医院,結城市結城９２８４－１０,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000941,個人,白石一男,白石一男,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,['院内処方'],na,na,na,2|2|-,na,na,3|3|-,25,na,na,41
神明橋歯科医院,結城市結城１２０２１,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000942,個人,岡山伸一,岡山伸一,['歯科領域の一次診療'],['顎関節症治療'],na,na,"['院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携', '薬局との連携']",2|2|-,na,na,0.5|-|0.5,14.7,na,na,42
鈴木歯科医院,結城市結城１１６８,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000943,個人,鈴木秀樹,鈴木秀樹,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,2|2|-,na,na,na,12,na,na,42
須藤歯科クリニック,結城市結城逆井１１３９７－７,na,na,2020年12月28日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000944,個人,須藤純男,須藤純男,['歯科領域の一次診療'],na,na,na,['院内処方'],na,na,na,1|1|-,na,na,na,11,na,na,42
曽雌歯科医院,結城市結城５８３２－４,na,na,2022年12月27日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000945,個人,曾雌 隆,曾雌 隆,"['歯科領域の一次診療', '成人の歯科矯正治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,1|1|-,14.5,na,na,42
高島歯科医院,結城市今宿１０８３－７,na,na,2023年3月16日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000946,個人,高嶋茂,高嶋茂,['歯科領域の一次診療'],['顎関節症治療'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,"['往診（終日往診可能以外）', '歯科訪問診療']","['病院との連携', '診療所との連携', '居宅介護支援事業所との連携']",1|1|-,na,na,na,20,na,na,42
館野歯科クリニック,結城市結城黒田１２７１４,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000947,個人,館野治宣,館野治宣,['歯科領域の一次診療'],na,na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,na,1|1|0,na,na,4.4|3|1.4,39,na,na,42
玉岡歯科医院,結城市結城１９５８－２,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000948,個人,須藤弘道,須藤弘道,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,4|1|3,20.5,na,na,42
にこにこ歯科,結城市結城９１４３－２,na,na,2023年2月15日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000950,個人,森寛,森寛,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院外処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,"['往診（終日往診可能以外）', '歯科訪問診療', '訪問歯科衛生指導', '歯科疾患在宅療養管理']","['診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",1|1|-,na,na,2.5|2|0.5,48.3,na,na,42
ふれあい歯科医院,結城市七五三場２６５－５,na,na,2023年2月15日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000951,個人,勝山牧夫,勝山牧夫,['歯科領域の一次診療'],['埋伏歯抜歯'],na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1|1|-,14,na,na,42
三木歯科医院,結城市鹿窪１３０５－９９,na,na,2020年12月11日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000953,個人,三木次郎,三木次郎,['歯科領域の一次診療'],"['埋伏歯抜歯', '顎関節症治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '院外処方', '施設内における全面禁煙の実施']",na,"['往診（終日往診可能以外）', '歯科訪問診療', '歯科疾患在宅療養管理']","['病院との連携', '診療所との連携', '居宅介護支援事業所との連携']",1.2|1|0.2,na,na,1|1|-,18,na,na,42
結城デンタルクリニック,結城市結城１２７３４－１,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000954,個人,大木博之,大木博之,"['歯科領域の一次診療', '成人の歯科矯正治療', '唇顎口蓋裂の歯科矯正治療', '顎変形症の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '顎変形症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療', '唇顎口蓋裂治療']",na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '視覚障害者への配慮（施設内点字ブロックの設置）', '視覚障害者への配慮（点字による表示）', '聴覚障害者への配慮（手話による対応）', '聴覚障害者への配慮（施設内の情報の表示）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施', '喫煙室の設置']",na,"['往診（終日対応することができるものに限る）', '歯科訪問診療']","['病院との連携', '診療所との連携', '訪問看護ステーションとの連携', '居宅介護支援事業所との連携', '薬局との連携']",2|2|-,na,na,1.5|1|0.5,18,na,na,42
わたなべ歯科医院,結城市五助２４２７,na,na,2023年3月24日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000955,個人,渡辺伸哉,渡辺伸哉,"['歯科領域の一次診療', '成人の歯科矯正治療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,2|2|-,38,na,na,42
青山歯科医院,筑西市丙１２７,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000956,個人,青山雅樹,青山雅樹,['歯科領域の一次診療'],na,na,na,['院内処方'],na,na,na,1|1|0,na,na,na,na,na,na,42
浅香歯科医院,筑西市甲８２８－１,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000957,個人,浅香尚生,浅香尚生,"['歯科領域の一次診療', '成人の歯科矯正治療']",na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,1|1|-,12.3,na,na,42
阿部歯科医院,筑西市下岡崎３－４－１３,na,na,2021年1月05日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000958,個人,阿部昌史,阿部昌史,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療', '顎骨骨折治療', '口唇、舌若しくは口腔粘膜の炎症、外傷又は腫瘍の治療']",na,na,"['院内処方', '視覚障害者への配慮（音声による情報の伝達）', '車椅子利用者への配慮（施設内のバリアフリー化の実施）', '施設内における全面禁煙の実施']",na,na,"['病院との連携', '診療所との連携']",1|1|-,na,na,na,22,na,na,42
石塚歯科医院,筑西市伊讃美下原７８０－２,na,na,2020年12月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000960,個人,石塚善洋,石塚善洋,"['歯科領域の一次診療', '著しく歯科診療が困難な者（障害者等）の歯科治療']","['埋伏歯抜歯', '顎関節症治療']",na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,26.7,na,na,42
一木歯科医院,筑西市甲１２,na,na,2023年3月14日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000961,個人,一木努,一木努,['歯科領域の一次診療'],na,na,na,"['院内処方', '施設内における全面禁煙の実施']",na,na,na,1|1|-,na,na,na,13,na,na,42
いけうちデンタルクリニック,筑西市直井１０３９－１,na,na,2023年3月24日,https://www.ibaraki-medinfo.jp/details/BaseInfo/sb/3080000962,個人,池内誠,池内誠,"['歯科領域の一次診療', '成人の歯科矯正治療']",na,na,na,"['院内処方', '車椅子対応トイレ', '施設内における全面禁煙の実施']",na,na,na,1|-|1,na,na,-|1|2,24,na,na,42
